"team","group","ovr_elo","off_rtg","def_rtg","team_points","num_wins","goal_diff","goals_for","first_place","second_place","third_place","fourth_place","make_r32","make_r16","make_qf","make_semis","make_final","win_3rd_place","win_final","update_time"
"Qatar","B",1557.97875996647,1.66769094603815,1.41745997807621,1.37113333333333,0.298,-5.10166666666667,1.91026666666667,0.0147333333333333,0.0556,0.2456,0.684066666666667,0.1884,0.0335333333333333,0.00586666666666667,0.001,0.000133333333333333,4e-04,0,"2026-06-10 22:21:14 UTC"
"Bosnia and Herzegovina","B",1771.63419869771,1.9331865089696,0.815066997198552,3.00746666666667,0.789133333333333,-1.80913333333333,3.06813333333333,0.058,0.1722,0.5102,0.2596,0.559,0.172133333333333,0.0486,0.0112,0.00273333333333333,0.00286666666666667,0.000733333333333333,"2026-06-10 22:21:14 UTC"
"Switzerland","B",2115.52057561237,2.87847950497978,0.461343038138493,6.21673333333333,1.87806666666667,3.5854,6.1522,0.4784,0.3652,0.1262,0.0302,0.949866666666667,0.5906,0.285,0.125533333333333,0.0596,0.0323333333333333,0.0269333333333333,"2026-06-10 22:21:14 UTC"
"Canada","B",1997.98758984293,2.30144054859882,0.426262296630519,6.24693333333333,1.87706666666667,3.3254,5.5016,0.448866666666667,0.407,0.118,0.0261333333333333,0.952466666666667,0.5382,0.237133333333333,0.0856,0.0340666666666667,0.0202666666666667,0.0126,"2026-06-10 22:21:14 UTC"
"Morocco","C",2041.45239780298,2.34207348963323,0.35947579409392,4.46093333333333,1.2312,0.512133333333333,3.91326666666667,0.2296,0.334066666666667,0.278666666666667,0.157666666666667,0.7674,0.334933333333333,0.171666666666667,0.0759333333333333,0.0304666666666667,0.0209333333333333,0.0130666666666667,"2026-06-10 22:21:14 UTC"
"Scotland","C",1963.15177154414,2.51341053175574,0.63500321980958,3.6804,0.989933333333333,-0.7216,3.91306666666667,0.1564,0.264333333333333,0.322533333333333,0.256733333333333,0.645666666666667,0.251466666666667,0.115066666666667,0.0465333333333333,0.0172666666666667,0.0115333333333333,0.00713333333333333,"2026-06-10 22:21:14 UTC"
"Brazil","C",2210.88451641835,3.0694192076696,0.357728072057018,6.19713333333333,1.85613333333333,3.19666666666667,5.9162,0.5556,0.260466666666667,0.129066666666667,0.0548666666666667,0.9232,0.5504,0.341,0.1978,0.1048,0.0523333333333333,0.057,"2026-06-10 22:21:14 UTC"
"Haiti","C",1822.97641410505,2.23011939694827,0.875988296362778,2.28493333333333,0.546133333333333,-2.9872,2.8476,0.0584,0.141133333333333,0.269733333333333,0.530733333333333,0.3642,0.104333333333333,0.0378,0.0116,0.00273333333333333,0.0032,0.000866666666666667,"2026-06-10 22:21:14 UTC"
"United States","D",1923.2242914489,2.531013319884,0.771016913678657,4.2648,1.17646666666667,0.174466666666667,4.487,0.276333333333333,0.249333333333333,0.245133333333333,0.2292,0.7048,0.400533333333333,0.184666666666667,0.0802,0.0359333333333333,0.0197333333333333,0.0139333333333333,"2026-06-10 22:21:14 UTC"
"Turkey","D",2069.04396315352,2.7909720276572,0.523361809406886,4.54013333333333,1.26853333333333,0.5902,4.60613333333333,0.307133333333333,0.272733333333333,0.222066666666667,0.198066666666667,0.7492,0.442333333333333,0.2074,0.0926,0.0431333333333333,0.0229333333333333,0.0204,"2026-06-10 22:21:14 UTC"
"Australia","D",1987.12661992931,2.31243958498168,0.455276074558011,3.55766666666667,0.9148,-0.7526,3.34986666666667,0.1796,0.2224,0.274066666666667,0.323933333333333,0.597066666666667,0.299866666666667,0.119733333333333,0.0459333333333333,0.0186,0.0112,0.00646666666666667,"2026-06-10 22:21:14 UTC"
"Paraguay","D",2032.79871824298,2.40629492144023,0.404583991396707,4.088,1.0908,-0.0120666666666667,3.71,0.236933333333333,0.255533333333333,0.258733333333333,0.2488,0.684066666666667,0.371733333333333,0.165133333333333,0.0734,0.0321333333333333,0.0192666666666667,0.0134,"2026-06-10 22:21:14 UTC"
"Ecuador","E",2145.4504273852,2.38380857859084,0.219893761705632,5.6978,1.64386666666667,2.23193333333333,4.304,0.3938,0.374933333333333,0.1888,0.0424666666666667,0.918133333333333,0.539066666666667,0.279866666666667,0.1538,0.0746,0.0403333333333333,0.0346666666666667,"2026-06-10 22:21:14 UTC"
"Ivory Coast","E",1936.99112398904,2.26144381404662,0.547158143756489,3.6956,0.9842,-0.572933333333333,3.3884,0.127666666666667,0.2462,0.441933333333333,0.1842,0.678733333333333,0.254,0.0890666666666667,0.0336666666666667,0.0107333333333333,0.0074,0.0038,"2026-06-10 22:21:14 UTC"
"Germany","E",2167.61724161797,3.11994654349053,0.470022530211604,5.9306,1.76866666666667,3.02206666666667,5.8404,0.4648,0.3212,0.170466666666667,0.0435333333333333,0.926066666666667,0.5538,0.2994,0.1698,0.0852,0.046,0.043,"2026-06-10 22:21:14 UTC"
"Curaçao","E",1661.39806891435,1.75093199117131,1.0668049269925,1.34053333333333,0.2678,-4.68106666666667,1.66553333333333,0.0137333333333333,0.0576666666666667,0.1988,0.7298,0.177866666666667,0.0369333333333333,0.00773333333333333,0.00206666666666667,4e-04,0.000333333333333333,6.66666666666667e-05,"2026-06-10 22:21:14 UTC"
"Tunisia","F",1814.72144580175,1.91938846785689,0.666804249326428,2.2774,0.5386,-2.89013333333333,2.64553333333333,0.0532666666666667,0.137733333333333,0.293266666666667,0.515733333333333,0.365866666666667,0.0960666666666667,0.0322666666666667,0.0096,0.00266666666666667,0.0018,4e-04,"2026-06-10 22:21:14 UTC"
"Japan","F",2119.65339379849,2.77635681659306,0.402293401743752,5.3916,1.57566666666667,1.88933333333333,5.39406666666667,0.380133333333333,0.3274,0.2002,0.0922666666666667,0.8628,0.4416,0.2612,0.135866666666667,0.0662666666666667,0.036,0.0305333333333333,"2026-06-10 22:21:14 UTC"
"Sweden","F",1907.35773258574,2.61453832119325,0.892714859265828,3.3268,0.897,-1.48566666666667,4.24306666666667,0.125066666666667,0.2212,0.337533333333333,0.3162,0.571733333333333,0.192333333333333,0.0816,0.031,0.0115333333333333,0.00646666666666667,0.00353333333333333,"2026-06-10 22:21:14 UTC"
